STATE|STATEFP|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT|COUNTIES
IL|17|60079|02399679|Piper City village|INCORPORATED PLACE|C1|A|Ford County
IL|17|60144|02393188|Pistakee Highlands CDP|CENSUS DESIGNATED PLACE|U1|S|McHenry County
IL|17|60209|02399681|Pittsburg village|INCORPORATED PLACE|C1|A|Williamson County
IL|17|60222|02396217|Pittsfield city|INCORPORATED PLACE|C1|A|Pike County
IL|17|60287|02399684|Plainfield village|INCORPORATED PLACE|C1|A|Kendall County~~~Will County
IL|17|60339|02399685|Plainville village|INCORPORATED PLACE|C1|A|Adams County
IL|17|60352|02396223|Plano city|INCORPORATED PLACE|C1|A|Kendall County
IL|17|60391|02399688|Plattville village|INCORPORATED PLACE|C1|A|Kendall County
IL|17|60534|02399692|Pleasant Hill village|INCORPORATED PLACE|C1|A|Pike County
IL|17|60599|02399694|Pleasant Plains village|INCORPORATED PLACE|C1|A|Sangamon County
IL|17|60826|02806545|Plum Valley CDP|CENSUS DESIGNATED PLACE|U1|S|Will County
IL|17|60833|02398989|Plymouth village|INCORPORATED PLACE|C1|A|Hancock County~~~McDonough County
IL|17|60872|02398991|Pocahontas village|INCORPORATED PLACE|C1|A|Bond County
IL|17|60937|02396246|Polo city|INCORPORATED PLACE|C1|A|Ogle County
IL|17|61015|02396250|Pontiac city|INCORPORATED PLACE|C1|A|Livingston County
IL|17|61067|02398997|Pontoon Beach village|INCORPORATED PLACE|C1|A|Madison County
IL|17|61080|02398998|Pontoosuc village|INCORPORATED PLACE|C1|A|Hancock County
IL|17|61145|02398999|Poplar Grove village|INCORPORATED PLACE|C1|A|Boone County
IL|17|61216|02399001|Port Barrington village|INCORPORATED PLACE|C1|A|Lake County~~~McHenry County
IL|17|61223|02399002|Port Byron village|INCORPORATED PLACE|C1|A|Rock Island County
IL|17|61314|02399009|Posen village|INCORPORATED PLACE|C1|A|Cook County
IL|17|61366|02399011|Potomac village|INCORPORATED PLACE|C1|A|Vermilion County
IL|17|61548|02399018|Prairie City village|INCORPORATED PLACE|C1|A|McDonough County
IL|17|61639|02399019|Prairie du Rocher village|INCORPORATED PLACE|C1|A|Randolph County
IL|17|61678|02399020|Prairie Grove village|INCORPORATED PLACE|C1|A|McHenry County
IL|17|61743|02804654|Prairietown CDP|CENSUS DESIGNATED PLACE|U1|S|Madison County
IL|17|61782|02806546|Preemption CDP|CENSUS DESIGNATED PLACE|U1|S|Mercer County
IL|17|61821|02629860|Prestbury CDP|CENSUS DESIGNATED PLACE|U1|S|Kane County
IL|17|61860|02393198|Preston Heights CDP|CENSUS DESIGNATED PLACE|U1|S|Will County
IL|17|61899|02396278|Princeton city|INCORPORATED PLACE|C1|A|Bureau County
IL|17|61925|02399025|Princeville village|INCORPORATED PLACE|C1|A|Peoria County
IL|17|61977|02396287|Prophetstown city|INCORPORATED PLACE|C1|A|Whiteside County
IL|17|62016|02396288|Prospect Heights city|INCORPORATED PLACE|C1|A|Cook County
IL|17|62211|02399029|Pulaski village|INCORPORATED PLACE|C1|A|Pulaski County
IL|17|62367|02396301|Quincy city|INCORPORATED PLACE|C1|A|Adams County
IL|17|62523|02399035|Radom village|INCORPORATED PLACE|C1|A|Washington County
IL|17|62588|02399037|Raleigh village|INCORPORATED PLACE|C1|A|Saline County
IL|17|62627|02399038|Ramsey village|INCORPORATED PLACE|C1|A|Fayette County
IL|17|62744|02399040|Rankin village|INCORPORATED PLACE|C1|A|Vermilion County
IL|17|62757|02399041|Ransom village|INCORPORATED PLACE|C1|A|LaSalle County
IL|17|62783|02399042|Rantoul village|INCORPORATED PLACE|C1|A|Champaign County
IL|17|62822|02399043|Rapids City village|INCORPORATED PLACE|C1|A|Rock Island County
IL|17|62848|02399045|Raritan village|INCORPORATED PLACE|C1|A|Henderson County
IL|17|62965|02399049|Raymond village|INCORPORATED PLACE|C1|A|Montgomery County
IL|17|63043|02396334|Red Bud city|INCORPORATED PLACE|C1|A|Randolph County
